train_loss,train_acc,val_loss,val_acc,lr
1.3994422593010796,48.257777777777775,1.2402679155349732,55.14,0.0009998303758629009
0.9450020236651103,66.17555555555556,0.867300489616394,69.24,0.000999321619703514
0.744785217666626,74.0111111111111,0.7166245213508606,75.22,0.0009984740801978985
0.6269544819937812,78.09555555555555,0.6703769426345825,77.18,0.0009972883382072953
0.5479943485736847,80.73777777777778,0.5670022995710373,80.78,0.0009957652063800363
0.4954807761086358,82.83777777777777,0.47727331829071046,83.34,0.0009939057285945933
0.44059075938330755,84.91333333333333,0.5196943705320358,82.56,0.0009917111792441576
0.3997513886928558,86.06666666666666,0.45146120655536653,84.46,0.0009891830623632338
0.36242925045755175,87.47777777777777,0.5104006895542145,83.26,0.0009863231105968497
0.3437157698313395,88.09333333333333,0.47850643209815025,84.06,0.0009831332840130884
0.3141613812711504,89.10888888888888,0.4680504747390747,84.86,0.0009796157687597552
0.28878797369003295,89.86888888888889,0.4051472389221191,86.82,0.0009757729755661006
0.2759875587966707,90.38444444444444,0.3926821065425873,87.44,0.0009716075380906279
0.24955634939405652,91.33777777777777,0.3549896745324135,87.96,0.0009671223111161144
0.23025193767017788,91.91777777777777,0.43563051830530164,87.12,0.0009623203685930865
0.2164707165559133,92.38,0.39466931571811437,87.54,0.000957205001533087
0.203483759103881,92.76444444444445,0.38565545756816866,87.96,0.0009517797157531806
0.1867824805074268,93.35333333333334,0.44333691712617873,87.52,0.0009460482294732416
0.17632035609881083,93.97111111111111,0.3640435472331941,89.22,0.0009400144707676724
0.16098772084977891,94.31111111111112,0.33615106315836313,90.02,0.0009336825748732968
0.154459941344791,94.6288888888889,0.3717806810557842,89.08,0.0009270568813552752
0.14046659568415748,95.00666666666666,0.3702474030483514,89.06,0.0009201419311329845
0.1338409267703692,95.20444444444445,0.3819263467282057,88.52,0.0009129424633678974
0.12017972490257688,95.69777777777777,0.33229211292602123,90.34,0.0009054634122155986
0.11059562515152825,96.00222222222222,0.3896517511613667,89.92,0.0008977099034441611
0.10426963399118848,96.2911111111111,0.34456285517811774,90.9,0.0008896872509212003
0.10093415218724144,96.43777777777778,0.37609900069236757,90.06,0.0008814009529720151
0.09279955106046464,96.73333333333333,0.3943108901259853,90.26,0.0008728566886113099
0.0865225582242012,96.94,0.4274880665004253,89.28,0.000864060313651082
0.08155920223328803,97.16,0.44101078877449035,89.26,0.0008550178566873409
0.08120139314333598,97.16,0.373016215133667,90.32,0.0008457355149684079
0.0747231608622604,97.31333333333333,0.3521874757409096,91.16,0.0008362196501476345
0.06782018188635508,97.51555555555555,0.3813439084342681,91.06,0.0008264767839234406
0.0690093337085512,97.52666666666667,0.3853099033787847,91.14,0.0008165135935696693
0.06379659104214774,97.76444444444445,0.38544495097524484,91.36,0.0008063369073593164
0.05781609312560823,97.98444444444445,0.38161548199438255,90.88,0.0007959536998847739
0.05148682293428315,98.20666666666666,0.4222671081326553,90.72,0.000785371087277792
0.05371359388563368,98.14666666666666,0.3907562023269944,91.06,0.0007745963223324382
0.05187923382785585,98.10888888888888,0.41863328159451485,91.18,0.0007636367895343944
0.03996129620207681,98.55111111111111,0.4124080528080463,91.44,0.0007524999999999997
0.04570019545820024,98.36666666666666,0.3834423912256956,91.54,0.000741193586328506
0.045860105589032175,98.47111111111111,0.43142198406846727,91.0,0.0007297252973710753
0.03628373126321369,98.70222222222222,0.4353037952458486,90.98,0.0007181029929201058
0.03559304771290885,98.78,0.42814005038738034,91.54,0.0007063346383225208
0.037391290499766666,98.71333333333334,0.433531509009318,91.48,0.0006944282990207191
0.03949939106106758,98.67777777777778,0.4021007659466937,91.94,0.0006823921350249234
0.03110482895920674,98.89555555555556,0.3834404732383322,92.2,0.0006702343953207163
