train_loss,train_acc,val_loss,val_acc,lr
0.9634354652510749,81.09777777777778,0.7519132746696472,90.78,0.0002997049959000266
0.8021581451204088,88.08222222222223,0.6969991531372071,92.9,0.00029882114784651444
0.7522205308278401,90.23777777777778,0.668054949760437,93.66,0.00029735194398393893
0.7276270733727349,91.24,0.653215087223053,94.48,0.0002953031825887303
0.7050418630070157,91.93777777777778,0.642116464138031,94.76,0.0002926829491861254
0.6892544459025065,92.53555555555556,0.6374357656478882,94.5,0.00028950158464029354
0.6763875949859619,93.08666666666667,0.6623521731376648,93.9,0.00028577164434366993
0.670652027659946,93.38888888888889,0.6424089539527893,94.62,0.00028150784866655756
0.656025045659807,93.97777777777777,0.6346649742126464,94.98,0.00027672702486255125
0.6509084149360657,94.13111111111111,0.6325847206115722,94.94,0.0002714480406590546
0.6398684679667155,94.62666666666667,0.6298809526443482,94.86,0.00026569172979498044
0.6325852320777046,94.82444444444444,0.6112190282821656,95.78,0.000259480809799501
0.6287912666108874,95.04,0.6158438137054444,95.5,0.00025283979233633894
0.6199763036410014,95.4088888888889,0.6092820014953614,95.62,0.0002457948864674291
0.6187802179442512,95.51333333333334,0.6109956485748291,95.78,0.00023837389521772474
0.6122408651987712,95.59333333333333,0.606054971408844,95.8,0.00023060610584935996
0.608709117518531,95.73555555555555,0.6003525621414184,96.06,0.0002225221742782064
0.6024117831124199,96.11111111111111,0.5984406987190246,96.54,0.00021415400408897832
0.5970566779030694,96.27111111111111,0.6087266196250916,95.78,0.00020553462062635933
0.5942609448326959,96.40444444444445,0.6004309445381164,95.78,0.0001966980406590546
0.5927097479608324,96.5,0.6073943225860595,95.64,0.00018767913813114574
0.5882342819425794,96.58444444444444,0.5912695474624634,96.46,0.00017851350653056583
0.5845669741206699,96.67333333333333,0.5872249723434448,96.26,0.0001692373184178635
0.5802221829944186,96.93333333333334,0.5927760176658631,96.28,0.00015988718266963235
0.5779106669425964,97.08888888888889,0.5861882113456726,96.66,0.0001505
0.5734436068640815,97.24,0.5933158638000489,96.3,0.00014111281733036765
0.5739076141251458,97.08222222222223,0.5896768450737,96.58,0.00013176268158213652
0.5691551895989312,97.33333333333333,0.5902666059494018,96.32,0.00012248649346943417
0.5660890294710795,97.39333333333333,0.5878249857902527,96.64,0.0001133208618688542
0.5632943990919325,97.58444444444444,0.5825098078727722,96.56,0.00010430195934094542
0.5643014024946424,97.49777777777778,0.5795362524032592,96.88,9.546537937364069e-05
0.5604536403232151,97.65555555555555,0.584463139629364,96.5,8.684599591102163e-05
0.5577247250239055,97.72888888888889,0.5800532880783081,96.7,7.847782572179354e-05
0.5515928163422479,98.02666666666667,0.578602237033844,96.88,7.039389415063997e-05
0.5549876659181383,97.83111111111111,0.5793873366355896,96.5,6.262610478227528e-05
0.5512885425249735,98.06666666666666,0.5759788885116577,96.78,5.520511353257088e-05
0.5495199591742621,98.11555555555556,0.5716484963417053,97.06,4.8160207663661033e-05
0.5497577571762933,98.03555555555556,0.5746459573745728,96.96,4.151919020049901e-05
0.5469898881064521,98.16222222222223,0.5713206923484803,97.06,3.530827020501952e-05
0.5466381987041897,98.18444444444444,0.5691070576667786,97.04,2.9551959340945373e-05
0.5445645112885369,98.34666666666666,0.5716411435127259,97.08,2.427297513744878e-05
0.5438490466753642,98.29333333333334,0.5712700724601746,97.04,1.9492151333442396e-05
0.5427515598509047,98.27111111111111,0.5703140851974488,97.2,1.5228355656330108e-05
0.5446645217153762,98.31111111111112,0.5694670412063598,97.18,1.1498415359706425e-05
0.5425215102725559,98.33777777777777,0.5689114393234252,97.1,8.317050813874547e-06
0.54105818456014,98.38666666666667,0.5679533854484559,97.22,5.69681741126967e-06
0.5420785658306546,98.42666666666666,0.5677434319496155,97.2,3.648056016061036e-06
0.5420541571193271,98.34444444444445,0.5668303066253663,97.3,2.1788521534855743e-06
0.5421241726027595,98.40222222222222,0.5700190524101257,97.22,1.295004099973402e-06
0.542477713309394,98.40222222222222,0.5670745356559753,97.32,1e-06
